评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
旧手机不行了，想着双十一有活动换个新的。上个也是京东自营购买的红米手机，这次同样选择京东自营。发货速度快，第二天就收到了，用了两天没问题。京东自营质量有保障。,5,已购 雪岩白 16GB+256GB,___Man---,179,旧手机不行了想着双十一有活动换个新的上个也是京东自营购买的红米手机这次同样选择京东自营发货速度快第二天就收到了用了两天没问题京东自营质量有保障,手机 不行 想着 双十 一有 活动 换个 京东 自营 购买 红米 手机 这次 同样 选择 京东 自营 发货 速度 第二天 收到 两天 问题 京东 自营 质量 保障,商品7.csv,0.0085,负向
这款手机整体表现很赞，外观简约耐看，机身轻薄易携带。屏幕显示舒服，长时间用不累眼，性能应对日常需求完全够用，运行一直流畅。续航给力，全天使用电量充裕，充电速度也快。综合配置均衡无短板，性价比突出，作为日常主力机很合适,5,已购 玄夜黑 12GB+256GB,6363s2qdkuyz8q,180,这款手机整体表现很赞外观简约耐看机身轻薄易携带屏幕显示舒服长时间用不累眼性能应对日常需求完全够用运行一直流畅续航给力全天使用电量充裕充电速度也快综合配置均衡无短板性价比突出作为日常主力机很合适,手机 整体 表现 很赞 外观 简约 耐看 机身 轻薄 携带 屏幕显示 舒服 长时间 累眼 性能 应对 日常 需求 完全 够用 运行 一直 流畅 续航 给力 全天 用电量 充裕 充电 速度 综合 配置 均衡 短板 性价比 突出 作为 日常 主力 合适,商品7.csv,1.0,正向
下回有时间有精力还要买一款k80。主要替换掉现役最差的手机。这个价格，这个配置，让我们这些老年人弄得很放心。不担心是坏机子拿来充好的。京东品质。不错。,5,已购 汐月蓝 12GB+256GB,_***_,181,下回有时间有精力还要买一款主要替换掉现役最差的手机这个价格这个配置让我们这些老年人弄得很放心不担心是坏机子拿来充好的京东品质不错,下回 时间 精力 还要 一款 主要 替换 现役 最差 手机 这个 价格 这个 配置 我们 这些 老年人 放心 担心 机子 拿来 充好 京东 品质 不错,商品7.csv,0.9907,正向
手机很好，这是购买的第三个了，一直在用，价格不定期变化，很实惠，手机速度可以，不玩游戏，体会不出有多快，目前很理想。,5,已购 玄夜黑 12GB+256GB,猎月施人,182,手机很好这是购买的第三个了一直在用价格不定期变化很实惠手机速度可以不玩游戏体会不出有多快目前很理想,手机 购买 第三个 一直 价格 不定期 变化 实惠 手机 速度 可以 玩游戏 体会 不出 目前 理想,商品7.csv,0.9977,正向
真是好手机，真是一部好手机，真是一部送长辈的好手机，真是一部长辈过生日当礼物送长辈的好手机。妈妈非常满意，更新澎湃os 3.0后，给妈妈壁纸设置成了视频动态壁纸！妈妈非常喜欢非常开心,5,已购 雪岩白 12GB+256GB,7***n,183,真是好手机真是一部好手机真是一部送长辈的好手机真是一部长辈过生日当礼物送长辈的好手机妈妈非常满意更新澎湃 后给妈妈壁纸设置成了视频动态壁纸妈妈非常喜欢非常开心,真是 手机 真是 一部 手机 真是 一部 长辈 手机 真是 一部 长辈 过生日 礼物 长辈 手机 妈妈 非常 满意 更新 澎湃 妈妈 壁纸 设置 视频 动态 壁纸 妈妈 非常 喜欢 非常 开心,商品7.csv,1.0,正向
送给老婆的K80她用得很开心！流畅不卡顿，拍照清晰，续航也持久。颜值高手感好，她总夸我会选礼物，性价比超高，值得推荐！,5,已购 雪岩白 16GB+1TB,飞***游,184,送给老婆的她用得很开心流畅不卡顿拍照清晰续航也持久颜值高手感好她总夸我会选礼物性价比超高值得推荐,送给 老婆 开心 流畅 不卡顿 拍照 清晰 续航 持久 颜值 高手 感好 我会 礼物 性价比 超高 值得 推荐,商品7.csv,1.0,正向
小米做工精细，质量上乘，品质可靠，物流速度也很迅速，包装严实没有任何破损，没有什么明显瑕疵，机器很快系统也方便使用，适用于年轻人，性价比高,5,已购 山峦青 12GB+256GB,宝葫芦的淡淡,185,小米做工精细质量上乘品质可靠物流速度也很迅速包装严实没有任何破损没有什么明显瑕疵机器很快系统也方便使用适用于年轻人性价比高,小米 做工 精细 质量上乘 品质 可靠 物流 速度 迅速 包装 严实 没有 任何 破损 没有 什么 明显 瑕疵 机器 很快 系统 方便使用 适用 年轻人 性价比,商品7.csv,1.0,正向
"以旧换新：用以前自用的旧手机回收，还有补贴。
外形外观：个人感觉外观整洁简约大气。
买给老妈，老妈非常喜欢。",5,已购 雪岩白 12GB+256GB,加***水,186,"以旧换新用以前自用的旧手机回收还有补贴
外形外观个人感觉外观整洁简约大气
买给老妈老妈非常喜欢",以旧换新 以前 自用 手机 回收 还有 补贴 外形 外观 个人感觉 外观 整洁 简约 大气 老妈 老妈 非常 喜欢,商品7.csv,0.9995,正向
"给家里老人买的非常好，系统非常流畅，操作简单，一直习惯用小米的手机。 看了好几款最后决定买k80
国补之后超值",5,已购 玄夜黑 12GB+256GB,j***q,187,"给家里老人买的非常好系统非常流畅操作简单一直习惯用小米的手机 看了好几款最后决定买
国补之后超值",家里 老人 非常 系统 非常 流畅 操作 简单 一直 习惯 小米 手机 几款 最后 决定 国补 之后 超值,商品7.csv,0.9999,正向
这个手机真的太好用了，我非常喜欢速度非常快，运行起来非常快。希望大家都来买，价格很合适，屏幕很好，拍照也很清晰,5,已购 山峦青 12GB+256GB,小胡0522,188,这个手机真的太好用了我非常喜欢速度非常快运行起来非常快希望大家都来买价格很合适屏幕很好拍照也很清晰,这个 手机 真的 太好 非常 喜欢 速度 非常 运行 起来 非常 希望 大家 价格 合适 屏幕 拍照 清晰,商品7.csv,0.9999,正向
给老母亲买的手机。。老年人够用了。。骁龙8 Gen3+2K护眼直屏表现亮眼。。6550mAh大电池+90W快充告别续航焦虑，IP68加持。。中端价位性价比拉满,5,已购 汐月蓝 16GB+512GB,A***S,189,给老母亲买的手机老年人够用了骁龙 护眼直屏表现亮眼大电池快充告别续航焦虑加持中端价位性价比拉满,母亲 手机 老年人 够用 骁龙 护眼 直屏 表现 亮眼 电池 快充 告别 续航 焦虑 加持 中端 价位 性价比 拉满,商品7.csv,1.0,正向
是买给老爸的，价格不贵，性能强劲，日常使用起来一丁点的卡顿都不会有，把老爸手里的k50升级到了k80，非常的好。,5,已购 玄夜黑 16GB+512GB,i***e,190,是买给老爸的价格不贵性能强劲日常使用起来一丁点的卡顿都不会有把老爸手里的升级到了非常的好,老爸 价格 性能 强劲 日常 使用 起来 一丁点 卡顿 不会 老爸 手里 升级 非常,商品7.csv,0.9997,正向
一直想给妈妈换一个手机，趁着双12手机打折，找到这款小米K80。价格很优惠，买到后迫不及待的开机，使用体验还不错，多用几天看看效果。,5,已购 山峦青 12GB+256GB,0***2,191,一直想给妈妈换一个手机趁着双手机打折找到这款小米价格很优惠买到后迫不及待的开机使用体验还不错多用几天看看效果,一直 妈妈 一个 手机 趁着 手机 打折 找到 小米 价格 优惠 买到 迫不及待 开机 使用 体验 不错 多用 几天 看看 效果,商品7.csv,0.9997,正向
现在红米还是有性价比的，虽然我不买了，但是给老人家买，还是很不错的。堆料小米没输过谁。2k屏幕，骁龙8gen3，ip68防水，都是可以的,5,已购 汐月蓝 12GB+256GB,坚强的猪先生,192,现在红米还是有性价比的虽然我不买了但是给老人家买还是很不错的堆料小米没输过谁屏幕骁龙防水都是可以的,现在 红米 还是 性价比 虽然 但是 老人家 还是 不错 堆料 小米 没输 屏幕 骁龙 防水 可以,商品7.csv,0.9974,正向
一直在京东买手机，没出过问题，红米k80应该是这个价位性价比最高的了，用久一点没问题，一年两年以后小米换电池比较方便,5,已购 玄夜黑 12GB+256GB,罪与罚1993,193,一直在京东买手机没出过问题红米应该是这个价位性价比最高的了用久一点没问题一年两年以后小米换电池比较方便,一直 京东 买手机 出过 问题 红米 应该 这个 价位 性价比 最高 一点 问题 一年 两年 以后 小米 电池 比较 方便,商品7.csv,0.9916,正向
红米K80性价比拉满！骁龙8 Gen3+2K护眼直屏流畅丝滑，6550mAh大电池+90W快充告别电量焦虑，金属中框质感在线，日常用机、游戏都靠谱,5,已购 雪岩白 12GB+256GB,梁浩天,194,红米性价比拉满骁龙 护眼直屏流畅丝滑大电池快充告别电量焦虑金属中框质感在线日常用机游戏都靠谱,红米 性价比 拉满 骁龙 护眼 直屏 流畅 丝滑大 电池 快充 告别 电量 焦虑 金属 中框 质感 在线 日常 用机 游戏,商品7.csv,0.9996,正向
非常不错的一次购物体验商品活动，商品质量非常好，不愧为京东自营平台上的小米大厂家生产的正品行货。手机性能卓越，设计精美，适用性高，性价比高，真心值得拥有，快递小哥很给力，亲自上门服务到家，值得点赞👍🏻,5,已购 山峦青 16GB+1TB,秋天枫叶FY,195,非常不错的一次购物体验商品活动商品质量非常好不愧为京东自营平台上的小米大厂家生产的正品行货手机性能卓越设计精美适用性高性价比高真心值得拥有快递小哥很给力亲自上门服务到家值得点赞,非常 不错 一次 购物 体验 商品 活动 商品质量 非常 不愧为 京东 自营 平台 小米 厂家 生产 正品 行货 手机 性能 卓越 设计 精美 适用性 高性价比 真心 值得 拥有 快递 小哥 亲自 上门服务 到家 值得 点赞,商品7.csv,1.0,正向
红米K80，2K屏蛮清晰的，电池可以的 ，中度使用6小时也就消耗了百分之60的电，一天一充可以的，90W的充电速度很快,5,已购 玄夜黑 12GB+256GB,陈***n,196,红米屏蛮清晰的电池可以的 中度使用小时也就消耗了百分之的电一天一充可以的的充电速度很快,红米 屏蛮 清晰 电池 可以 中度 使用 小时 消耗 百分之 一天 一充 可以 充电 速度 很快,商品7.csv,0.9919,正向
手机很快收到了，给朋友买的，她喜欢，喜欢比啥都重要，手感看着不错，颜值高用起来也顺手，新机很可以的，不错,5,已购 山峦青 12GB+256GB,j***g,197,手机很快收到了给朋友买的她喜欢喜欢比啥都重要手感看着不错颜值高用起来也顺手新机很可以的不错,手机 很快 收到 朋友 喜欢 喜欢 重要 手感 看着 不错 颜值 高用 起来 顺手 新机 可以 不错,商品7.csv,0.9999,正向
12+256，第三代骁龙8处理器速度很快，下载速度也很快。1600多性价比很高。屏幕挺大的，5600多mah电池容量够大。,5,已购 雪岩白 12GB+256GB,我i我佳521,198,第三代骁龙处理器速度很快下载速度也很快多性价比很高屏幕挺大的多电池容量够大,第三代 骁龙 处理器 速度 很快 下载速度 很快 性价比 屏幕 挺大 电池容量,商品7.csv,0.9999,正向
手机手感还不错，系统还是之前的小米系统，性价比挺高，主要还是价格实惠，我都是买隔代的，实惠，总体来说，不错,5,已购 汐月蓝 12GB+256GB,王宝王宝,199,手机手感还不错系统还是之前的小米系统性价比挺高主要还是价格实惠我都是买隔代的实惠总体来说不错,手机 手感 不错 系统 还是 之前 小米 系统 性价比 挺高 主要 还是 价格 实惠 隔代 实惠 总体 来说 不错,商品7.csv,1.0,正向
性价比很高k八零过补之好价格很划算作为日常手机使用性能完全符合要求充电量大然后照片也清晰。给老妈换个手机，加上果脯很划算，大家可以重点考虑一下。京东物流也很给力下单当日就到。,5,已购 汐月蓝 16GB+256GB,jd小喇叭滴滴,200,性价比很高八零过补之好价格很划算作为日常手机使用性能完全符合要求充电量大然后照片也清晰给老妈换个手机加上果脯很划算大家可以重点考虑一下京东物流也很给力下单当日就到,性价比 高八零过 补之好 价格 划算 作为 日常 手机 使用性能 完全 符合要求 充电 然后 照片 清晰 老妈 换个 手机 加上 果脯 划算 大家 可以 重点 考虑一下 京东 物流 下单 当日,商品7.csv,0.9979,正向
